Reward Start Date,Reward End Date,Eligible Builders,Builders with Activity (Score > 0),Activation Rate (%)
2025-07-13 10:00:00 UTC,2025-07-14 10:00:00 UTC,51388,654,1.27
2025-07-14 10:00:00 UTC,2025-07-16 10:00:00 UTC,51474,849,1.65
2025-07-14 10:00:00 UTC,2025-07-17 10:00:00 UTC,51518,1023,1.99
2025-07-14 10:00:00 UTC,2025-07-18 10:00:00 UTC,51606,1115,2.16
2025-07-14 10:00:00 UTC,2025-07-19 10:00:00 UTC,51645,1221,2.36
2025-07-14 10:00:00 UTC,2025-07-20 10:00:00 UTC,51672,1310,2.54
2025-07-14 10:00:00 UTC,2025-07-21 10:00:00 UTC,51706,1390,2.69
2025-07-21 10:00:00 UTC,2025-07-22 10:00:00 UTC,51734,665,1.29
2025-07-21 10:00:00 UTC,2025-07-23 10:00:00 UTC,51772,822,1.59
2025-07-21 10:00:00 UTC,2025-07-24 10:00:00 UTC,51822,969,1.87
2025-07-21 10:00:00 UTC,2025-07-25 10:00:00 UTC,51866,1070,2.06
2025-07-21 10:00:00 UTC,2025-07-26 10:00:00 UTC,51893,1180,2.27
2025-07-21 10:00:00 UTC,2025-07-27 10:00:00 UTC,51917,1252,2.41
2025-07-21 10:00:00 UTC,2025-07-28 10:00:00 UTC,51931,1342,2.58
2025-07-28 10:00:00 UTC,2025-07-29 10:00:00 UTC,51951,726,1.4
2025-07-28 10:00:00 UTC,2025-07-30 10:00:00 UTC,51988,909,1.75
2025-07-28 10:00:00 UTC,2025-07-31 10:00:00 UTC,52013,1048,2.01
2025-07-28 10:00:00 UTC,2025-08-01 10:00:00 UTC,52044,1143,2.2
2025-07-28 10:00:00 UTC,2025-08-02 10:00:00 UTC,52062,1216,2.34
2025-07-28 10:00:00 UTC,2025-08-03 10:00:00 UTC,52055,1284,2.47
2025-07-28 10:00:00 UTC,2025-08-04 10:00:00 UTC,52079,1369,2.63
2025-08-04 10:00:00 UTC,2025-08-05 10:00:00 UTC,52128,656,1.26
2025-08-04 10:00:00 UTC,2025-08-06 10:00:00 UTC,52205,813,1.56
