Date,New Eligible Devs,Active Devs,Activation Rate (%)
2025-07-13,0,0,0
2025-07-14,51388,654,1.27
2025-07-15,0,0,0
2025-07-16,51474,849,1.65
2025-07-17,51518,1023,1.99
2025-07-18,51606,1115,2.16
2025-07-19,51645,1221,2.36
2025-07-20,51672,1310,2.54
2025-07-21,51706,1390,2.69
2025-07-22,51734,665,1.29
2025-07-23,51772,822,1.59
2025-07-24,51822,969,1.87
2025-07-25,51866,1070,2.06
2025-07-26,51893,1180,2.27
2025-07-27,51917,1252,2.41
2025-07-28,51931,1342,2.58
2025-07-29,51951,726,1.4
2025-07-30,51988,909,1.75
2025-07-31,52013,1048,2.01
2025-08-01,52044,1143,2.2
2025-08-02,52062,1216,2.34
2025-08-03,52055,1284,2.47
2025-08-04,52079,1369,2.63
2025-08-05,52128,656,1.26
2025-08-06,52205,813,1.56
