Reward Start Date,Reward End Date,Eligible Builders,Builders with Activity (Score > 0),Builders Receiving Rewards,Builders with GitHub Activity,GitHub Activity %,Builders with Base-summer Contract Activity,Base-summer Contract Activity %
2025-07-13 10:00:00 UTC,2025-07-14 10:00:00 UTC,51388,654,99,640,1.25,17,0.03
2025-07-14 10:00:00 UTC,2025-07-16 10:00:00 UTC,51474,849,99,833,1.62,23,0.04
2025-07-14 10:00:00 UTC,2025-07-17 10:00:00 UTC,51518,1023,99,986,1.91,27,0.05
2025-07-14 10:00:00 UTC,2025-07-18 10:00:00 UTC,51606,1115,99,1078,2.09,30,0.06
2025-07-14 10:00:00 UTC,2025-07-19 10:00:00 UTC,51645,1221,99,1186,2.3,36,0.07
2025-07-14 10:00:00 UTC,2025-07-20 10:00:00 UTC,51672,1310,99,1272,2.46,40,0.08
2025-07-14 10:00:00 UTC,2025-07-21 10:00:00 UTC,51706,1390,99,1352,2.61,43,0.08
2025-07-21 10:00:00 UTC,2025-07-22 10:00:00 UTC,51734,665,100,655,1.27,15,0.03
2025-07-21 10:00:00 UTC,2025-07-23 10:00:00 UTC,51772,822,99,808,1.56,26,0.05
2025-07-21 10:00:00 UTC,2025-07-24 10:00:00 UTC,51822,969,100,937,1.81,35,0.07
2025-07-21 10:00:00 UTC,2025-07-25 10:00:00 UTC,51866,1070,100,1035,2.0,39,0.08
2025-07-21 10:00:00 UTC,2025-07-26 10:00:00 UTC,51893,1180,100,1145,2.21,41,0.08
2025-07-21 10:00:00 UTC,2025-07-27 10:00:00 UTC,51917,1252,100,1216,2.34,45,0.09
2025-07-21 10:00:00 UTC,2025-07-28 10:00:00 UTC,51931,1342,100,1309,2.52,44,0.08
2025-07-28 10:00:00 UTC,2025-07-29 10:00:00 UTC,51951,726,100,713,1.37,15,0.03
2025-07-28 10:00:00 UTC,2025-07-30 10:00:00 UTC,51988,909,100,889,1.71,30,0.06
2025-07-28 10:00:00 UTC,2025-07-31 10:00:00 UTC,52013,1048,100,1010,1.94,33,0.06
2025-07-28 10:00:00 UTC,2025-08-01 10:00:00 UTC,52044,1143,100,1100,2.11,40,0.08
2025-07-28 10:00:00 UTC,2025-08-02 10:00:00 UTC,52062,1216,100,1171,2.25,45,0.09
2025-07-28 10:00:00 UTC,2025-08-03 10:00:00 UTC,52055,1284,100,1240,2.38,47,0.09
2025-07-28 10:00:00 UTC,2025-08-04 10:00:00 UTC,52079,1369,100,1324,2.54,50,0.1
2025-08-04 10:00:00 UTC,2025-08-05 10:00:00 UTC,52128,656,100,644,1.24,17,0.03
2025-08-04 10:00:00 UTC,2025-08-06 10:00:00 UTC,52205,813,100,801,1.53,19,0.04
