Reward Start Date,Reward End Date,Previous Eligible Builders,Current Eligible Builders,Net Growth,Growth Percentage (%)
2025-07-14 10:00:00 UTC,2025-07-16 10:00:00 UTC,51388,51474,86,0.17
2025-07-14 10:00:00 UTC,2025-07-17 10:00:00 UTC,51474,51518,44,0.09
2025-07-14 10:00:00 UTC,2025-07-18 10:00:00 UTC,51518,51606,88,0.17
2025-07-14 10:00:00 UTC,2025-07-19 10:00:00 UTC,51606,51645,39,0.08
2025-07-14 10:00:00 UTC,2025-07-20 10:00:00 UTC,51645,51672,27,0.05
2025-07-14 10:00:00 UTC,2025-07-21 10:00:00 UTC,51672,51706,34,0.07
2025-07-21 10:00:00 UTC,2025-07-22 10:00:00 UTC,51706,51734,28,0.05
2025-07-21 10:00:00 UTC,2025-07-23 10:00:00 UTC,51734,51772,38,0.07
2025-07-21 10:00:00 UTC,2025-07-24 10:00:00 UTC,51772,51822,50,0.1
2025-07-21 10:00:00 UTC,2025-07-25 10:00:00 UTC,51822,51866,44,0.08
2025-07-21 10:00:00 UTC,2025-07-26 10:00:00 UTC,51866,51893,27,0.05
2025-07-21 10:00:00 UTC,2025-07-27 10:00:00 UTC,51893,51917,24,0.05
2025-07-21 10:00:00 UTC,2025-07-28 10:00:00 UTC,51917,51931,14,0.03
2025-07-28 10:00:00 UTC,2025-07-29 10:00:00 UTC,51931,51951,20,0.04
2025-07-28 10:00:00 UTC,2025-07-30 10:00:00 UTC,51951,51988,37,0.07
2025-07-28 10:00:00 UTC,2025-07-31 10:00:00 UTC,51988,52013,25,0.05
2025-07-28 10:00:00 UTC,2025-08-01 10:00:00 UTC,52013,52044,31,0.06
2025-07-28 10:00:00 UTC,2025-08-02 10:00:00 UTC,52044,52062,18,0.03
2025-07-28 10:00:00 UTC,2025-08-03 10:00:00 UTC,52062,52055,-7,-0.01
2025-07-28 10:00:00 UTC,2025-08-04 10:00:00 UTC,52055,52079,24,0.05
2025-08-04 10:00:00 UTC,2025-08-05 10:00:00 UTC,52079,52128,49,0.09
2025-08-04 10:00:00 UTC,2025-08-06 10:00:00 UTC,52128,52205,77,0.15
