Profile UUID,Earned Rewards this,This Week's Rewards Total,All-time Rewards Count,All-time Rewards Total
615a70ab-3e5b-46c0-b15d-b3dbc26a56ea,1,0.10514094,3,0.35802894
7cb74456-362a-4d4b-8f07-3c7ecb37aec6,1,0.1068555,3,0.35212149
a1425675-41bc-4e8e-8dc1-ee8bbfc1f80f,1,0.12638372,3,0.34052487
fd6a1519-0946-4291-8acd-18cc28cadf3b,1,0.10555206,3,0.32241697
0919ce69-601a-4fc6-bae8-cf505a6d09b1,1,0.08905452,3,0.29701268
e6770e46-827b-46ae-bf4e-2c6feb92fdab,1,0.02573533,3,0.19819697
b227ac12-dad1-47f2-b6e1-08297558aa9b,0,0.0,2,0.19819328
2728f5e0-9493-4e46-bed5-4b8a1ffed87a,1,0.02509683,3,0.19234428
c244a84f-c233-4985-a2e9-e0e6b869bbe6,1,0.01652506,3,0.12814159
81736eea-a56c-4058-bec5-3fd2063bbfae,1,0.02926409,3,0.12799092
0f7c877c-2c61-4005-a97c-2140731cf741,1,0.09318085,3,0.12258964
a9b47b93-57f2-4156-8e43-385b06179a11,1,0.02125758,3,0.11579932
e16b0a2f-018b-474a-a0e8-85bb87c6d7eb,1,0.09017131,3,0.11421451
dfab8cd9-5659-4319-9f60-a6b8939c137e,1,0.09106919,2,0.11417506
f6632d1c-b288-4e8e-8b0b-9e6c3ec166dc,1,0.09266406,2,0.11218152
ac415d7e-a713-498b-82d5-bf4990534791,0,0.0,2,0.1050928
48ad2b6e-ac05-49f8-9f86-d810eea351b5,1,0.09992785,1,0.09992785
1e00b80c-8810-4b58-a23c-c885019088db,1,0.01934401,3,0.05940383
5b540330-b46f-4a8d-9423-7fa030facf65,1,0.01460955,3,0.05835712
88c24a36-3ecf-4c1a-bce9-cc3301c6e3b2,1,0.0101696,3,0.05764828
93918860-b02b-47dc-944b-4065049dc12a,1,0.02482637,3,0.05599652
f0663d4c-b7a7-4bc9-93e5-35686cb7953a,1,0.02917099,3,0.05414222
0d0f1eb1-f924-47b5-af66-9a61280b8ba6,1,0.00802174,3,0.05365162
00da1ca2-735c-468c-973b-79032082a737,1,0.00879665,3,0.05016001
b1998e50-347b-4004-8acc-47e6a957badb,1,0.02405055,3,0.04931373
