Reward Start Date,Reward End Date,Eligible Builders,Builders with Activity (Score > 0),Activation Rate (%)
2025-03-31 12:00:00 UTC,2025-04-01 00:00:00 UTC,2981,205,6.88
2025-03-31 12:00:00 UTC,2025-04-02 12:00:00 UTC,2995,283,9.45
2025-03-31 12:00:00 UTC,2025-04-03 12:00:00 UTC,3745,359,9.59
2025-03-31 12:00:00 UTC,2025-04-04 12:00:00 UTC,37906,1001,2.64
2025-03-31 12:00:00 UTC,2025-04-05 12:00:00 UTC,38914,1061,2.73
2025-03-31 12:00:00 UTC,2025-04-06 12:00:00 UTC,39338,1122,2.85
2025-03-31 12:00:00 UTC,2025-04-07 12:00:00 UTC,40138,1193,2.97
2025-04-07 12:00:00 UTC,2025-04-08 12:00:00 UTC,42485,562,1.32
2025-04-07 12:00:00 UTC,2025-04-09 12:00:00 UTC,43465,644,1.48
2025-04-07 12:00:00 UTC,2025-04-10 12:00:00 UTC,43736,721,1.65
2025-04-07 12:00:00 UTC,2025-04-11 12:00:00 UTC,44076,849,1.93
2025-04-07 12:00:00 UTC,2025-04-12 12:00:00 UTC,44571,884,1.98
2025-04-07 12:00:00 UTC,2025-04-13 12:00:00 UTC,44575,929,2.08
2025-04-07 12:00:00 UTC,2025-04-14 12:00:00 UTC,44583,990,2.22
2025-04-14 10:00:00 UTC,2025-04-15 10:00:00 UTC,44669,576,1.29
2025-04-14 10:00:00 UTC,2025-04-16 10:00:00 UTC,44684,665,1.49
2025-04-14 10:00:00 UTC,2025-04-17 10:00:00 UTC,44696,719,1.61
2025-04-14 10:00:00 UTC,2025-04-18 10:00:00 UTC,44717,796,1.78
2025-04-14 10:00:00 UTC,2025-04-19 10:00:00 UTC,44730,850,1.9
2025-04-14 10:00:00 UTC,2025-04-20 10:00:00 UTC,44738,904,2.02
2025-04-14 10:00:00 UTC,2025-04-21 10:00:00 UTC,44730,911,2.04
2025-04-21 10:00:00 UTC,2025-04-22 10:00:00 UTC,44774,491,1.1
