Week Start Date (Monday),Devs with GitHub Activity,Total GitHub Repos,Devs with Base Contract Activity,Total Base Contracts
2025-03-31,1169,1641,13,722
2025-04-07,970,1516,15,1074
2025-04-14,896,1391,10,720
2025-04-21,846,1317,16,607
2025-04-28,900,1382,0,13
2025-05-05,1136,1705,13,702
2025-05-12,866,1361,16,689
2025-05-19,894,1368,21,719
2025-05-26,755,1115,11,441
2025-06-02,643,1040,12,341
2025-06-09,647,1096,10,388
2025-06-16,905,1502,16,627
2025-06-23,980,1576,17,940
2025-06-30,1394,2340,17,1182
2025-07-07,1394,2340,17,1182
