Date,New Eligible Devs,Active Devs,Activation Rate (%)
2025-03-31,0,0,0
2025-04-01,2961,203,6.86
2025-04-02,2973,280,9.42
2025-04-03,3719,355,9.55
2025-04-04,37678,989,2.62
2025-04-05,38678,1049,2.71
2025-04-06,39101,1109,2.84
2025-04-07,39895,1178,2.95
2025-04-08,42222,555,1.31
2025-04-09,43194,636,1.47
2025-04-10,43462,712,1.64
2025-04-11,42936,805,1.87
2025-04-12,44285,872,1.97
2025-04-13,44289,916,2.07
2025-04-14,44297,977,2.21
2025-04-15,44381,568,1.28
2025-04-16,44396,657,1.48
2025-04-17,44407,709,1.6
2025-04-18,44428,786,1.77
2025-04-19,44440,839,1.89
2025-04-20,44447,892,2.01
2025-04-21,44439,900,2.03
2025-04-22,44483,485,1.09
2025-04-23,44496,563,1.27
2025-04-24,44523,650,1.46
2025-04-25,44534,709,1.59
2025-04-26,44543,763,1.71
2025-04-27,44581,811,1.82
2025-04-28,44597,854,1.91
2025-04-29,0,0,0
2025-04-30,0,0,0
2025-05-01,0,0,0
2025-05-02,0,0,0
2025-05-03,0,0,0
2025-05-04,0,0,0
2025-05-05,44751,900,2.01
2025-05-06,44787,574,1.28
2025-05-07,44814,732,1.63
2025-05-08,44846,850,1.9
2025-05-09,44875,932,2.08
2025-05-10,44889,1033,2.3
2025-05-11,44902,1102,2.45
2025-05-12,44888,1142,2.54
2025-05-13,44920,531,1.18
2025-05-14,44935,627,1.4
2025-05-15,44943,697,1.55
2025-05-16,44950,780,1.74
2025-05-17,44672,802,1.8
2025-05-18,44709,843,1.89
2025-05-19,44714,877,1.96
2025-05-20,46728,549,1.17
2025-05-21,46736,606,1.3
2025-05-22,46731,678,1.45
2025-05-23,46375,737,1.59
2025-05-24,46330,804,1.74
2025-05-25,46333,862,1.86
2025-05-26,46333,906,1.96
2025-05-27,45905,483,1.05
2025-05-28,46701,586,1.25
2025-05-29,46841,669,1.43
2025-05-30,37334,655,1.75
2025-05-31,37213,688,1.85
2025-06-01,37212,727,1.95
2025-06-02,37219,761,2.04
2025-06-03,37212,407,1.09
2025-06-04,37222,508,1.36
2025-06-05,37227,570,1.53
2025-06-06,35757,571,1.6
2025-06-07,35728,603,1.69
2025-06-08,35736,630,1.76
2025-06-09,35735,650,1.82
2025-06-10,35745,359,1.0
2025-06-11,35762,435,1.22
2025-06-12,35766,488,1.36
2025-06-13,35771,532,1.49
2025-06-14,35775,583,1.63
2025-06-15,35779,622,1.74
2025-06-16,35780,652,1.82
2025-06-17,35541,378,1.06
2025-06-18,40191,474,1.18
2025-06-19,40212,535,1.33
2025-06-20,40223,601,1.49
2025-06-21,40237,651,1.62
2025-06-22,40250,681,1.69
2025-06-23,49621,919,1.85
2025-06-24,49642,526,1.06
2025-06-25,49942,674,1.35
2025-06-26,49998,727,1.45
2025-06-27,50073,805,1.61
2025-06-28,50262,889,1.77
2025-06-29,50283,964,1.92
2025-06-30,50293,994,1.98
2025-07-01,50318,579,1.15
2025-07-02,50575,744,1.47
2025-07-03,50919,967,1.9
2025-07-04,51122,1174,2.3
2025-07-05,51220,1271,2.48
2025-07-06,51302,1347,2.63
2025-07-07,51383,1408,2.74
