Reward Start Date,Reward End Date,Eligible Builders,Builders with Activity (Score > 0),Builders Receiving Rewards,Builders with GitHub Activity,GitHub Activity %,Builders with Base Contract Activity,Base Contract Activity %
2025-03-31 12:00:00 UTC,2025-04-01 00:00:00 UTC,2977,205,100,205,6.89,0,0.0
2025-03-31 12:00:00 UTC,2025-04-02 12:00:00 UTC,2989,282,99,280,9.37,2,0.07
2025-03-31 12:00:00 UTC,2025-04-03 12:00:00 UTC,3739,358,99,354,9.47,6,0.16
2025-03-31 12:00:00 UTC,2025-04-04 12:00:00 UTC,37881,999,98,993,2.62,10,0.03
2025-03-31 12:00:00 UTC,2025-04-05 12:00:00 UTC,38887,1060,99,1052,2.71,11,0.03
2025-03-31 12:00:00 UTC,2025-04-06 12:00:00 UTC,39311,1120,98,1113,2.83,11,0.03
2025-03-31 12:00:00 UTC,2025-04-07 12:00:00 UTC,40110,1190,98,1181,2.94,13,0.03
2025-04-07 12:00:00 UTC,2025-04-08 12:00:00 UTC,42454,559,97,556,1.31,8,0.02
2025-04-07 12:00:00 UTC,2025-04-09 12:00:00 UTC,43434,641,97,637,1.47,10,0.02
2025-04-07 12:00:00 UTC,2025-04-10 12:00:00 UTC,43705,718,97,712,1.63,12,0.03
2025-04-07 12:00:00 UTC,2025-04-11 12:00:00 UTC,44041,845,96,840,1.91,13,0.03
2025-04-07 12:00:00 UTC,2025-04-12 12:00:00 UTC,44536,881,97,875,1.96,13,0.03
2025-04-07 12:00:00 UTC,2025-04-13 12:00:00 UTC,44540,926,97,920,2.07,12,0.03
2025-04-07 12:00:00 UTC,2025-04-14 12:00:00 UTC,44548,987,97,980,2.2,15,0.03
2025-04-14 10:00:00 UTC,2025-04-15 10:00:00 UTC,44633,574,98,571,1.28,6,0.01
2025-04-14 10:00:00 UTC,2025-04-16 10:00:00 UTC,44648,663,98,658,1.47,10,0.02
2025-04-14 10:00:00 UTC,2025-04-17 10:00:00 UTC,44660,716,97,712,1.59,9,0.02
2025-04-14 10:00:00 UTC,2025-04-18 10:00:00 UTC,44681,793,97,787,1.76,13,0.03
2025-04-14 10:00:00 UTC,2025-04-19 10:00:00 UTC,44693,846,97,839,1.88,14,0.03
2025-04-14 10:00:00 UTC,2025-04-20 10:00:00 UTC,44701,900,97,893,2.0,14,0.03
2025-04-14 10:00:00 UTC,2025-04-21 10:00:00 UTC,44692,907,97,903,2.02,10,0.02
2025-04-21 10:00:00 UTC,2025-04-22 10:00:00 UTC,44736,490,99,487,1.09,6,0.01
2025-04-21 10:00:00 UTC,2025-04-23 10:00:00 UTC,44749,568,97,563,1.26,10,0.02
2025-04-21 10:00:00 UTC,2025-04-24 10:00:00 UTC,44776,656,97,651,1.45,12,0.03
2025-04-21 10:00:00 UTC,2025-04-25 10:00:00 UTC,44787,716,97,708,1.58,15,0.03
2025-04-21 10:00:00 UTC,2025-04-26 10:00:00 UTC,44796,770,97,761,1.7,16,0.04
2025-04-21 10:00:00 UTC,2025-04-27 10:00:00 UTC,44833,819,97,810,1.81,16,0.04
2025-04-21 10:00:00 UTC,2025-04-28 10:00:00 UTC,44849,864,97,856,1.91,16,0.04
2025-04-28 10:00:00 UTC,2025-05-05 10:00:00 UTC,45004,906,96,906,2.01,0,0.0
2025-05-05 10:00:00 UTC,2025-05-06 10:00:00 UTC,45042,577,99,573,1.27,6,0.01
2025-05-05 10:00:00 UTC,2025-05-07 10:00:00 UTC,45070,737,99,733,1.63,8,0.02
2025-05-05 10:00:00 UTC,2025-05-08 10:00:00 UTC,45103,855,99,850,1.88,10,0.02
2025-05-05 10:00:00 UTC,2025-05-09 10:00:00 UTC,45132,937,98,931,2.06,12,0.03
2025-05-05 10:00:00 UTC,2025-05-10 10:00:00 UTC,45146,1039,98,1032,2.29,13,0.03
2025-05-05 10:00:00 UTC,2025-05-11 10:00:00 UTC,45161,1109,98,1102,2.44,13,0.03
2025-05-05 10:00:00 UTC,2025-05-12 10:00:00 UTC,45147,1149,98,1143,2.53,13,0.03
2025-05-12 10:00:00 UTC,2025-05-13 10:00:00 UTC,45179,534,98,529,1.17,6,0.01
2025-05-12 10:00:00 UTC,2025-05-14 10:00:00 UTC,45194,630,98,626,1.39,4,0.01
2025-05-12 10:00:00 UTC,2025-05-15 10:00:00 UTC,45202,701,98,697,1.54,5,0.01
2025-05-12 10:00:00 UTC,2025-05-16 10:00:00 UTC,45210,785,97,777,1.72,10,0.02
2025-05-12 10:00:00 UTC,2025-05-17 10:00:00 UTC,44924,808,97,804,1.79,5,0.01
2025-05-12 10:00:00 UTC,2025-05-18 10:00:00 UTC,44965,849,97,842,1.87,9,0.02
2025-05-12 10:00:00 UTC,2025-05-19 10:00:00 UTC,44969,883,98,872,1.94,16,0.04
2025-05-19 10:00:00 UTC,2025-05-20 10:00:00 UTC,46998,554,97,545,1.16,9,0.02
2025-05-19 10:00:00 UTC,2025-05-21 10:00:00 UTC,47006,612,97,602,1.28,10,0.02
2025-05-19 10:00:00 UTC,2025-05-22 10:00:00 UTC,47002,687,97,676,1.44,13,0.03
2025-05-19 10:00:00 UTC,2025-05-23 10:00:00 UTC,46643,746,97,736,1.58,15,0.03
2025-05-19 10:00:00 UTC,2025-05-24 10:00:00 UTC,46598,813,98,801,1.72,18,0.04
2025-05-19 10:00:00 UTC,2025-05-25 10:00:00 UTC,46601,871,98,859,1.84,19,0.04
2025-05-19 10:00:00 UTC,2025-05-26 10:00:00 UTC,46601,915,98,903,1.94,21,0.05
2025-05-26 10:00:00 UTC,2025-05-27 10:00:00 UTC,46173,486,98,479,1.04,9,0.02
2025-05-26 10:00:00 UTC,2025-05-28 10:00:00 UTC,46977,590,99,586,1.25,5,0.01
2025-05-26 10:00:00 UTC,2025-05-29 10:00:00 UTC,47118,674,99,665,1.41,13,0.03
2025-05-26 10:00:00 UTC,2025-05-30 10:00:00 UTC,37571,659,99,651,1.73,12,0.03
2025-05-26 10:00:00 UTC,2025-05-31 10:00:00 UTC,37448,693,99,690,1.84,5,0.01
2025-05-26 10:00:00 UTC,2025-06-01 10:00:00 UTC,37448,732,99,728,1.94,7,0.02
2025-05-26 10:00:00 UTC,2025-06-02 10:00:00 UTC,37455,766,99,760,2.03,12,0.03
2025-06-02 10:00:00 UTC,2025-06-03 10:00:00 UTC,37448,411,99,406,1.08,5,0.01
2025-06-02 10:00:00 UTC,2025-06-04 10:00:00 UTC,37458,513,100,507,1.35,7,0.02
