Reward Start Date,Reward End Date,Previous Eligible Builders,Current Eligible Builders,Net Growth,Growth Percentage (%)
2025-03-31 12:00:00 UTC,2025-04-02 12:00:00 UTC,2961,2973,12,0.41
2025-03-31 12:00:00 UTC,2025-04-03 12:00:00 UTC,2973,3719,746,25.09
2025-03-31 12:00:00 UTC,2025-04-04 12:00:00 UTC,3719,37678,33959,913.12
2025-03-31 12:00:00 UTC,2025-04-05 12:00:00 UTC,37678,38678,1000,2.65
2025-03-31 12:00:00 UTC,2025-04-06 12:00:00 UTC,38678,39101,423,1.09
2025-03-31 12:00:00 UTC,2025-04-07 12:00:00 UTC,39101,39895,794,2.03
2025-04-07 12:00:00 UTC,2025-04-08 12:00:00 UTC,39895,42222,2327,5.83
2025-04-07 12:00:00 UTC,2025-04-09 12:00:00 UTC,42222,43194,972,2.3
2025-04-07 12:00:00 UTC,2025-04-10 12:00:00 UTC,43194,43462,268,0.62
2025-04-07 12:00:00 UTC,2025-04-11 12:00:00 UTC,43462,43792,330,0.76
2025-04-07 12:00:00 UTC,2025-04-12 12:00:00 UTC,43792,44285,493,1.13
2025-04-07 12:00:00 UTC,2025-04-13 12:00:00 UTC,44285,44289,4,0.01
2025-04-07 12:00:00 UTC,2025-04-14 12:00:00 UTC,44289,44297,8,0.02
2025-04-14 10:00:00 UTC,2025-04-15 10:00:00 UTC,44297,44381,84,0.19
2025-04-14 10:00:00 UTC,2025-04-16 10:00:00 UTC,44381,44396,15,0.03
2025-04-14 10:00:00 UTC,2025-04-17 10:00:00 UTC,44396,44407,11,0.02
2025-04-14 10:00:00 UTC,2025-04-18 10:00:00 UTC,44407,44428,21,0.05
2025-04-14 10:00:00 UTC,2025-04-19 10:00:00 UTC,44428,44440,12,0.03
2025-04-14 10:00:00 UTC,2025-04-20 10:00:00 UTC,44440,44447,7,0.02
2025-04-14 10:00:00 UTC,2025-04-21 10:00:00 UTC,44447,44439,-8,-0.02
2025-04-21 10:00:00 UTC,2025-04-22 10:00:00 UTC,44439,44483,44,0.1
2025-04-21 10:00:00 UTC,2025-04-23 10:00:00 UTC,44483,44496,13,0.03
2025-04-21 10:00:00 UTC,2025-04-24 10:00:00 UTC,44496,44523,27,0.06
2025-04-21 10:00:00 UTC,2025-04-25 10:00:00 UTC,44523,44534,11,0.02
2025-04-21 10:00:00 UTC,2025-04-26 10:00:00 UTC,44534,44543,9,0.02
2025-04-21 10:00:00 UTC,2025-04-27 10:00:00 UTC,44543,44581,38,0.09
2025-04-21 10:00:00 UTC,2025-04-28 10:00:00 UTC,44581,44597,16,0.04
2025-04-28 10:00:00 UTC,2025-05-05 10:00:00 UTC,44597,44751,154,0.35
2025-05-05 10:00:00 UTC,2025-05-06 10:00:00 UTC,44751,44787,36,0.08
2025-05-05 10:00:00 UTC,2025-05-07 10:00:00 UTC,44787,44814,27,0.06
2025-05-05 10:00:00 UTC,2025-05-08 10:00:00 UTC,44814,44846,32,0.07
2025-05-05 10:00:00 UTC,2025-05-09 10:00:00 UTC,44846,44875,29,0.06
2025-05-05 10:00:00 UTC,2025-05-10 10:00:00 UTC,44875,44889,14,0.03
2025-05-05 10:00:00 UTC,2025-05-11 10:00:00 UTC,44889,44902,13,0.03
2025-05-05 10:00:00 UTC,2025-05-12 10:00:00 UTC,44902,44888,-14,-0.03
2025-05-12 10:00:00 UTC,2025-05-13 10:00:00 UTC,44888,44920,32,0.07
2025-05-12 10:00:00 UTC,2025-05-14 10:00:00 UTC,44920,44935,15,0.03
2025-05-12 10:00:00 UTC,2025-05-15 10:00:00 UTC,44935,44943,8,0.02
