Reward Start Date,Reward End Date,Previous Builders,Current Builders,Retained Builders,Retention Rate (%),New Builders,Leaving Builders
2025-03-31 12:00:00 UTC,2025-04-02 12:00:00 UTC,2981,2995,2917,97.85,78,64
2025-03-31 12:00:00 UTC,2025-04-03 12:00:00 UTC,2995,3745,2994,99.97,751,1
2025-03-31 12:00:00 UTC,2025-04-04 12:00:00 UTC,3745,37910,3744,99.97,34166,1
2025-03-31 12:00:00 UTC,2025-04-05 12:00:00 UTC,37910,38918,37906,99.99,1012,4
2025-03-31 12:00:00 UTC,2025-04-06 12:00:00 UTC,38918,39342,38917,100.0,425,1
2025-03-31 12:00:00 UTC,2025-04-07 12:00:00 UTC,39342,40142,39339,99.99,803,3
2025-04-07 12:00:00 UTC,2025-04-08 12:00:00 UTC,40142,42490,40135,99.98,2355,7
2025-04-07 12:00:00 UTC,2025-04-09 12:00:00 UTC,42490,43470,42489,100.0,981,1
2025-04-07 12:00:00 UTC,2025-04-10 12:00:00 UTC,43470,43741,43462,99.98,279,8
2025-04-07 12:00:00 UTC,2025-04-12 12:00:00 UTC,43741,44580,43711,99.93,869,30
2025-04-07 12:00:00 UTC,2025-04-13 12:00:00 UTC,44580,44584,44572,99.98,12,8
2025-04-07 12:00:00 UTC,2025-04-14 12:00:00 UTC,44584,44592,44579,99.99,13,5
2025-04-14 10:00:00 UTC,2025-04-15 10:00:00 UTC,44592,44678,44587,99.99,91,5
