Category,Metric,Count,Percentage
Builder Score,Level 1 (Novice): 0-39,0,0.0
Builder Score,Level 2 (Apprentice): 40-79,20,3.54
Builder Score,Level 3 (Practitioner): 80-119,83,14.69
Builder Score,Level 4 (Advanced): 120-169,193,34.16
Builder Score,Level 5 (Expert): 170-249,189,33.45
Builder Score,Level 6 (Master): 250+,80,14.16

GitHub Experience,1 year,6,1.06
GitHub Experience,2 years,31,5.49
GitHub Experience,3 years,61,10.8
GitHub Experience,4 years,77,13.63
GitHub Experience,5 years,73,12.92
GitHub Experience,6 years,54,9.56
GitHub Experience,7 years,29,5.13
GitHub Experience,8 years,46,8.14
GitHub Experience,9 years,39,6.9
GitHub Experience,10+ years,134,23.72
GitHub Experience,No data,15,2.65
Onchain Experience,1 year,257,45.49
Onchain Experience,2 years,96,16.99
Onchain Experience,3 years,64,11.33
Onchain Experience,4 years,64,11.33
Onchain Experience,5 years,39,6.9
Onchain Experience,6 years,5,0.88
Onchain Experience,7 years,6,1.06
Onchain Experience,8 years,14,2.48
Onchain Experience,9 years,1,0.18
Onchain Experience,10+ years,0,0.0
Onchain Experience,No data,19,3.36
