Reward Start Date,Reward End Date,Eligible Builders,Builders with Activity (Score > 0),Activation Rate (%)
2025-05-01 10:00:00 UTC,2025-05-22 10:00:00 UTC,13437,684,5.09
2025-05-01 10:00:00 UTC,2025-06-01 10:00:00 UTC,10453,713,6.82
2025-06-01 10:00:00 UTC,2025-06-02 10:00:00 UTC,10453,197,1.88
2025-06-01 10:00:00 UTC,2025-06-03 10:00:00 UTC,10453,207,1.98
2025-06-01 10:00:00 UTC,2025-06-04 10:00:00 UTC,10453,238,2.28
2025-06-01 10:00:00 UTC,2025-06-05 10:00:00 UTC,10450,254,2.43
2025-06-01 10:00:00 UTC,2025-06-06 10:00:00 UTC,9705,249,2.57
2025-06-01 10:00:00 UTC,2025-06-07 10:00:00 UTC,9705,261,2.69
2025-06-01 10:00:00 UTC,2025-06-08 10:00:00 UTC,9705,269,2.77
2025-06-01 10:00:00 UTC,2025-06-09 10:00:00 UTC,9705,278,2.86
2025-06-01 10:00:00 UTC,2025-06-10 10:00:00 UTC,9699,284,2.93
2025-06-01 10:00:00 UTC,2025-06-11 10:00:00 UTC,9700,294,3.03
2025-06-01 10:00:00 UTC,2025-06-12 10:00:00 UTC,9701,302,3.11
2025-06-01 10:00:00 UTC,2025-06-13 10:00:00 UTC,9701,311,3.21
2025-06-01 10:00:00 UTC,2025-06-14 10:00:00 UTC,9701,324,3.34
2025-06-01 10:00:00 UTC,2025-06-15 10:00:00 UTC,9701,335,3.45
2025-06-01 10:00:00 UTC,2025-06-16 10:00:00 UTC,9701,347,3.58
2025-06-01 10:00:00 UTC,2025-06-17 10:00:00 UTC,11036,412,3.73
2025-06-01 10:00:00 UTC,2025-06-18 10:00:00 UTC,11067,421,3.8
2025-06-01 10:00:00 UTC,2025-06-19 10:00:00 UTC,11081,435,3.93
2025-06-01 10:00:00 UTC,2025-06-20 10:00:00 UTC,11121,449,4.04
2025-06-01 10:00:00 UTC,2025-06-21 10:00:00 UTC,11146,459,4.12
2025-06-01 10:00:00 UTC,2025-06-22 10:00:00 UTC,11168,470,4.21
2025-06-01 10:00:00 UTC,2025-06-23 10:00:00 UTC,11184,484,4.33
2025-06-01 10:00:00 UTC,2025-06-24 10:00:00 UTC,11196,493,4.4
2025-06-01 10:00:00 UTC,2025-06-25 10:00:00 UTC,11873,526,4.43
2025-06-01 10:00:00 UTC,2025-06-26 10:00:00 UTC,12818,553,4.31
2025-06-01 10:00:00 UTC,2025-06-27 10:00:00 UTC,13069,567,4.34
2025-06-01 10:00:00 UTC,2025-06-28 10:00:00 UTC,13532,592,4.37
2025-06-01 10:00:00 UTC,2025-06-29 10:00:00 UTC,13552,601,4.43
2025-06-01 10:00:00 UTC,2025-06-30 10:00:00 UTC,13574,618,4.55
2025-06-01 10:00:00 UTC,2025-07-01 10:00:00 UTC,13607,623,4.58
2025-07-01 10:00:00 UTC,2025-07-10 10:00:00 UTC,16833,776,4.61
2025-07-01 10:00:00 UTC,2025-07-11 10:00:00 UTC,16842,854,5.07
2025-07-01 10:00:00 UTC,2025-07-12 10:00:00 UTC,16853,893,5.3
2025-07-01 10:00:00 UTC,2025-07-13 10:00:00 UTC,16887,951,5.63
2025-07-01 10:00:00 UTC,2025-07-14 10:00:00 UTC,16883,971,5.75
2025-07-01 10:00:00 UTC,2025-07-15 10:00:00 UTC,17779,1049,5.9
2025-07-01 10:00:00 UTC,2025-07-16 10:00:00 UTC,21942,1250,5.7
2025-07-01 10:00:00 UTC,2025-07-17 10:00:00 UTC,25754,1414,5.49
2025-07-01 10:00:00 UTC,2025-07-18 10:00:00 UTC,34247,1653,4.83
2025-07-01 10:00:00 UTC,2025-07-19 10:00:00 UTC,37631,1764,4.69
2025-07-01 10:00:00 UTC,2025-07-20 10:00:00 UTC,38061,1804,4.74
2025-07-01 10:00:00 UTC,2025-07-21 10:00:00 UTC,38095,1845,4.84
2025-07-01 10:00:00 UTC,2025-07-22 10:00:00 UTC,38106,1883,4.94
2025-07-01 10:00:00 UTC,2025-07-23 10:00:00 UTC,38967,1901,4.88
2025-07-01 10:00:00 UTC,2025-07-24 10:00:00 UTC,39933,2004,5.02
2025-07-01 10:00:00 UTC,2025-07-25 10:00:00 UTC,39962,2035,5.09
2025-07-01 10:00:00 UTC,2025-07-26 10:00:00 UTC,39972,2076,5.19
2025-07-01 10:00:00 UTC,2025-07-27 10:00:00 UTC,39981,2108,5.27
2025-07-01 10:00:00 UTC,2025-07-28 10:00:00 UTC,39994,2148,5.37
2025-07-01 10:00:00 UTC,2025-07-29 10:00:00 UTC,40000,2182,5.46
2025-07-01 10:00:00 UTC,2025-07-30 10:00:00 UTC,40017,2206,5.51
2025-07-01 10:00:00 UTC,2025-07-31 10:00:00 UTC,40027,40027,100.0
2025-07-01 10:00:00 UTC,2025-08-01 10:00:00 UTC,40061,40061,100.0
2025-07-01 10:00:00 UTC,2025-08-02 10:00:00 UTC,40071,40071,100.0
2025-07-01 10:00:00 UTC,2025-08-03 10:00:00 UTC,40081,40081,100.0
2025-07-01 10:00:00 UTC,2025-08-04 10:00:00 UTC,40086,40086,100.0
