Week Start Date (Monday),Devs with GitHub Activity,Total GitHub Repos,Devs with Celo Contract Activity,Total Celo Contracts
2025-04-28,706,1622,17,270
2025-05-05,706,1622,17,270
2025-05-12,706,1622,17,270
2025-05-19,706,1622,17,270
2025-05-26,622,1495,7,7185
2025-06-02,622,1495,7,7185
2025-06-09,622,1495,7,7185
2025-06-16,622,1495,7,7185
2025-06-23,622,1495,7,7185
2025-06-30,2347,5332,31,0
2025-07-07,2347,5332,31,0
2025-07-14,2347,5332,31,0
2025-07-21,2347,5332,31,0
2025-07-28,2347,5332,31,0
2025-08-04,2347,5332,31,0
