Date,New Eligible Devs,Active Devs,Activation Rate (%)
2025-05-01,0,0,0
2025-05-02,0,0,0
2025-05-03,0,0,0
2025-05-04,0,0,0
2025-05-05,0,0,0
2025-05-06,0,0,0
2025-05-07,0,0,0
2025-05-08,0,0,0
2025-05-09,0,0,0
2025-05-10,0,0,0
2025-05-11,0,0,0
2025-05-12,0,0,0
2025-05-13,0,0,0
2025-05-14,0,0,0
2025-05-15,0,0,0
2025-05-16,24,7,29.17
2025-05-17,0,0,0
2025-05-18,0,0,0
2025-05-19,0,0,0
2025-05-20,0,0,0
2025-05-21,0,0,0
2025-05-22,13413,677,5.05
2025-05-23,0,0,0
2025-05-24,0,0,0
2025-05-25,0,0,0
2025-05-26,0,0,0
2025-05-27,0,0,0
2025-05-28,0,0,0
2025-05-29,0,0,0
2025-05-30,0,0,0
2025-05-31,0,0,0
2025-06-01,10453,713,6.82
2025-06-02,0,0,0
2025-06-03,10453,207,1.98
2025-06-04,10453,238,2.28
2025-06-05,10450,254,2.43
2025-06-06,9705,249,2.57
2025-06-07,9705,261,2.69
2025-06-08,9705,269,2.77
2025-06-09,9705,278,2.86
2025-06-10,9699,284,2.93
2025-06-11,9700,294,3.03
2025-06-12,9701,302,3.11
2025-06-13,9701,311,3.21
2025-06-14,9701,324,3.34
2025-06-15,9701,335,3.45
2025-06-16,9701,347,3.58
2025-06-17,11036,412,3.73
2025-06-18,11067,421,3.8
2025-06-19,11081,435,3.93
2025-06-20,11121,449,4.04
2025-06-21,11146,459,4.12
2025-06-22,11168,470,4.21
2025-06-23,11184,484,4.33
2025-06-24,11196,493,4.4
2025-06-25,11873,526,4.43
2025-06-26,12818,553,4.31
2025-06-27,13069,567,4.34
2025-06-28,13532,592,4.37
2025-06-29,13552,601,4.43
2025-06-30,13574,618,4.55
2025-07-01,13607,623,4.58
2025-07-02,0,0,0
2025-07-03,0,0,0
2025-07-04,0,0,0
2025-07-05,0,0,0
2025-07-06,0,0,0
2025-07-07,0,0,0
2025-07-08,0,0,0
2025-07-09,0,0,0
2025-07-10,16833,776,4.61
2025-07-11,16842,854,5.07
2025-07-12,16853,893,5.3
2025-07-13,13133,896,6.82
2025-07-14,16883,971,5.75
2025-07-15,17779,1049,5.9
2025-07-16,21942,1250,5.7
2025-07-17,25754,1414,5.49
2025-07-18,34247,1653,4.83
2025-07-19,37631,1764,4.69
2025-07-20,38061,1804,4.74
2025-07-21,38095,1845,4.84
2025-07-22,38106,1883,4.94
2025-07-23,38967,1901,4.88
2025-07-24,39933,2004,5.02
2025-07-25,39962,2035,5.09
2025-07-26,39972,2076,5.19
2025-07-27,39981,2108,5.27
2025-07-28,39994,2148,5.37
2025-07-29,40000,2182,5.46
2025-07-30,40017,2206,5.51
2025-07-31,40027,40027,100.0
2025-08-01,40061,40061,100.0
2025-08-02,40071,40071,100.0
2025-08-03,40081,40081,100.0
2025-08-04,40086,40086,100.0
