Reward Start Date,Reward End Date,Previous Eligible Builders,Current Eligible Builders,Net Growth,Growth Percentage (%)
2025-05-01 10:00:00 UTC,2025-06-01 10:00:00 UTC,13437,10453,-2984,-22.21
2025-06-01 10:00:00 UTC,2025-06-02 10:00:00 UTC,10453,10453,0,0.0
2025-06-01 10:00:00 UTC,2025-06-03 10:00:00 UTC,10453,10453,0,0.0
2025-06-01 10:00:00 UTC,2025-06-04 10:00:00 UTC,10453,10453,0,0.0
2025-06-01 10:00:00 UTC,2025-06-05 10:00:00 UTC,10453,10450,-3,-0.03
2025-06-01 10:00:00 UTC,2025-06-06 10:00:00 UTC,10450,9705,-745,-7.13
2025-06-01 10:00:00 UTC,2025-06-07 10:00:00 UTC,9705,9705,0,0.0
2025-06-01 10:00:00 UTC,2025-06-08 10:00:00 UTC,9705,9705,0,0.0
2025-06-01 10:00:00 UTC,2025-06-09 10:00:00 UTC,9705,9705,0,0.0
2025-06-01 10:00:00 UTC,2025-06-10 10:00:00 UTC,9705,9699,-6,-0.06
2025-06-01 10:00:00 UTC,2025-06-11 10:00:00 UTC,9699,9700,1,0.01
2025-06-01 10:00:00 UTC,2025-06-12 10:00:00 UTC,9700,9701,1,0.01
2025-06-01 10:00:00 UTC,2025-06-13 10:00:00 UTC,9701,9701,0,0.0
2025-06-01 10:00:00 UTC,2025-06-14 10:00:00 UTC,9701,9701,0,0.0
2025-06-01 10:00:00 UTC,2025-06-15 10:00:00 UTC,9701,9701,0,0.0
2025-06-01 10:00:00 UTC,2025-06-16 10:00:00 UTC,9701,9701,0,0.0
2025-06-01 10:00:00 UTC,2025-06-17 10:00:00 UTC,9701,11036,1335,13.76
2025-06-01 10:00:00 UTC,2025-06-18 10:00:00 UTC,11036,11067,31,0.28
2025-06-01 10:00:00 UTC,2025-06-19 10:00:00 UTC,11067,11081,14,0.13
2025-06-01 10:00:00 UTC,2025-06-20 10:00:00 UTC,11081,11121,40,0.36
2025-06-01 10:00:00 UTC,2025-06-21 10:00:00 UTC,11121,11146,25,0.22
2025-06-01 10:00:00 UTC,2025-06-22 10:00:00 UTC,11146,11168,22,0.2
2025-06-01 10:00:00 UTC,2025-06-23 10:00:00 UTC,11168,11184,16,0.14
2025-06-01 10:00:00 UTC,2025-06-24 10:00:00 UTC,11184,11196,12,0.11
2025-06-01 10:00:00 UTC,2025-06-25 10:00:00 UTC,11196,11873,677,6.05
2025-06-01 10:00:00 UTC,2025-06-26 10:00:00 UTC,11873,12818,945,7.96
2025-06-01 10:00:00 UTC,2025-06-27 10:00:00 UTC,12818,13069,251,1.96
2025-06-01 10:00:00 UTC,2025-06-28 10:00:00 UTC,13069,13532,463,3.54
2025-06-01 10:00:00 UTC,2025-06-29 10:00:00 UTC,13532,13552,20,0.15
2025-06-01 10:00:00 UTC,2025-06-30 10:00:00 UTC,13552,13574,22,0.16
2025-06-01 10:00:00 UTC,2025-07-01 10:00:00 UTC,13574,13607,33,0.24
2025-07-01 10:00:00 UTC,2025-07-10 10:00:00 UTC,13607,16833,3226,23.71
2025-07-01 10:00:00 UTC,2025-07-11 10:00:00 UTC,16833,16842,9,0.05
2025-07-01 10:00:00 UTC,2025-07-12 10:00:00 UTC,16842,16853,11,0.07
2025-07-01 10:00:00 UTC,2025-07-13 10:00:00 UTC,16853,16887,34,0.2
2025-07-01 10:00:00 UTC,2025-07-14 10:00:00 UTC,16887,16883,-4,-0.02
2025-07-01 10:00:00 UTC,2025-07-15 10:00:00 UTC,16883,17779,896,5.31
2025-07-01 10:00:00 UTC,2025-07-16 10:00:00 UTC,17779,21942,4163,23.42
2025-07-01 10:00:00 UTC,2025-07-17 10:00:00 UTC,21942,25754,3812,17.37
2025-07-01 10:00:00 UTC,2025-07-18 10:00:00 UTC,25754,34247,8493,32.98
2025-07-01 10:00:00 UTC,2025-07-19 10:00:00 UTC,34247,37631,3384,9.88
2025-07-01 10:00:00 UTC,2025-07-20 10:00:00 UTC,37631,38061,430,1.14
2025-07-01 10:00:00 UTC,2025-07-21 10:00:00 UTC,38061,38095,34,0.09
2025-07-01 10:00:00 UTC,2025-07-22 10:00:00 UTC,38095,38106,11,0.03
2025-07-01 10:00:00 UTC,2025-07-23 10:00:00 UTC,38106,38967,861,2.26
2025-07-01 10:00:00 UTC,2025-07-24 10:00:00 UTC,38967,39933,966,2.48
2025-07-01 10:00:00 UTC,2025-07-25 10:00:00 UTC,39933,39962,29,0.07
2025-07-01 10:00:00 UTC,2025-07-26 10:00:00 UTC,39962,39972,10,0.03
2025-07-01 10:00:00 UTC,2025-07-27 10:00:00 UTC,39972,39981,9,0.02
2025-07-01 10:00:00 UTC,2025-07-28 10:00:00 UTC,39981,39994,13,0.03
2025-07-01 10:00:00 UTC,2025-07-29 10:00:00 UTC,39994,40000,6,0.02
2025-07-01 10:00:00 UTC,2025-07-30 10:00:00 UTC,40000,40017,17,0.04
2025-07-01 10:00:00 UTC,2025-07-31 10:00:00 UTC,40017,40027,10,0.02
2025-07-01 10:00:00 UTC,2025-08-01 10:00:00 UTC,40027,40061,34,0.08
2025-07-01 10:00:00 UTC,2025-08-02 10:00:00 UTC,40061,40071,10,0.02
2025-07-01 10:00:00 UTC,2025-08-03 10:00:00 UTC,40071,40081,10,0.02
2025-07-01 10:00:00 UTC,2025-08-04 10:00:00 UTC,40081,40086,5,0.01
